Time(s),Reference(C),Temperature(C),Control_Total(%),Base_NMPC(%),Residual_SAC(%)
269.0,40.77585271554666,38.913,16.244820334057415,21.273884452919567,-5.029064118862152
270.0,40.77585271554666,38.816,16.162159122566784,21.273884452919567,-5.111725330352783
271.0,40.77585271554666,38.816,16.32151810083827,21.273884452919567,-4.952366352081299
272.0,40.77585271554666,38.784,16.175267972092236,21.273884452919567,-5.0986164808273315
273.0,40.77585271554666,38.816,16.20659080896815,21.273884452919567,-5.067293643951416
274.0,40.77585271554666,38.72,16.038284875492657,21.273884452919567,-5.23559957742691
275.0,40.77585271554666,38.752,16.335419096092785,21.273884452919567,-4.938465356826782
276.0,40.77585271554666,38.784,16.12110701952418,21.273884452919567,-5.152777433395386
277.0,40.77585271554666,38.816,15.946577467064465,21.273884452919567,-5.3273069858551025
278.0,40.77585271554666,38.816,15.900055445770825,21.273884452919567,-5.373829007148743
279.0,40.77585271554666,38.784,15.828572787384594,21.273884452919567,-5.445311665534973
280.0,40.77585271554666,38.752,15.84690300379237,21.273884452919567,-5.426981449127197
281.0,40.77585271554666,38.816,15.884935833553875,21.273884452919567,-5.388948619365692
282.0,40.77585271554666,38.784,15.537540592293347,21.273884452919567,-5.736343860626221
283.0,40.77585271554666,38.784,15.717041172127331,21.273884452919567,-5.556843280792236
284.0,40.77585271554666,38.849,15.561122573952282,21.273884452919567,-5.712761878967285
285.0,40.77585271554666,38.849,15.216515041927899,21.273884452919567,-6.057369410991669
286.0,40.77585271554666,38.849,15.17874328051051,21.273884452919567,-6.095141172409058
287.0,40.77585271554666,38.913,15.176468767265881,21.273884452919567,-6.0974156856536865
288.0,40.77585271554666,38.816,14.990811623673046,21.273884452919567,-6.283072829246521
289.0,40.77585271554666,38.849,15.11280385408839,21.273884452919567,-6.161080598831177
290.0,40.77585271554666,38.881,14.919153727631176,21.273884452919567,-6.354730725288391
291.0,40.77585271554666,38.945,14.664501227478588,21.273884452919567,-6.609383225440979
292.0,40.77585271554666,38.816,14.564654208759869,21.273884452919567,-6.7092302441596985
293.0,40.77585271554666,38.849,14.892910100559796,21.273884452919567,-6.380974352359772
294.0,40.77585271554666,38.913,14.596002973656262,21.273884452919567,-6.677881479263306
295.0,40.77585271554666,38.913,14.34470859919032,21.273884452919567,-6.929175853729248
296.0,40.77585271554666,38.913,14.247187055687512,21.273884452919567,-7.026697397232056
297.0,40.77585271554666,38.816,14.189873613457287,21.273884452919567,-7.08401083946228
298.0,40.77585271554666,38.913,14.51613215361079,21.273884452919567,-6.757752299308777
299.0,40.77585271554666,38.913,14.036748088936413,21.273884452919567,-7.237136363983154
300.0,40.77585271554666,38.978,13.833111204247082,21.273884452919567,-7.440773248672485
301.0,40.77585271554666,38.945,13.904615320305432,21.273884452919567,-7.369269132614136
302.01,40.77585271554666,39.01,13.787195362190808,21.273884452919567,-7.48668909072876
303.0,40.77585271554666,38.945,13.650655724148358,21.273884452919567,-7.62322872877121
304.0,40.77585271554666,38.945,13.584041275124157,21.273884452919567,-7.68984317779541
305.0,40.77585271554666,38.978,13.50883839283427,21.273884452919567,-7.765046060085297
306.0,40.77585271554666,39.01,13.499513246159161,21.273884452919567,-7.7743712067604065
307.0,40.77585271554666,38.945,13.360004402737225,21.273884452919567,-7.9138800501823425
308.0,40.77585271554666,39.042,13.315502084831799,21.273884452919567,-7.9583823680877686
309.0,40.77585271554666,39.074,13.160753823856915,21.273884452919567,-8.113130629062653
310.0,40.77585271554666,38.978,13.133721627335156,21.273884452919567,-8.140162825584412
311.0,40.77585271554666,39.042,13.214524962048138,21.273884452919567,-8.05935949087143
312.0,40.77585271554666,39.01,13.162256754974926,21.273884452919567,-8.111627697944641
313.0,40.77585271554666,39.106,13.094691909889782,21.273884452919567,-8.179192543029785
314.0,40.77585271554666,39.042,12.884296752552594,21.273884452919567,-8.389587700366974
